1	2	3
1	2	4
1	3	6
1	4	8
1	5	10
3	6	9
1	7	14
1	8	16
1	9	18
1	10	20
1	2	4
4	5	6
3	6	8
6	8	10
5	10	15
6	12	18
9	14	15
12	15	16
16	18	20
10	20	30
1	3	6
3	6	8
3	9	12
8	12	16
13	15	18
15	18	21
20	21	24
16	24	26
24	27	28
27	30	33
1	4	8
6	8	10
8	12	16
12	14	16
16	20	25
18	22	24
24	25	28
30	32	34
30	35	36
36	40	44
1	5	10
5	10	15
13	15	18
16	20	25
20	25	35
25	30	35
35	36	40
40	44	48
40	45	49
50	55	60
3	6	9
6	12	18
15	18	21
18	22	24
25	30	35
30	35	36
42	46	47
38	48	58
50	54	56
56	60	66
1	7	14
9	14	15
24	25	28
24	25	28
35	36	40
42	46	47
45	47	49
48	56	58
62	63	67
60	70	80
1	8	16
12	15	16
16	24	26
30	32	34
40	44	48
38	48	58
48	56	58
58	64	68
70	72	78
70	78	80
1	9	18
16	18	20
24	27	28
27	36	49
40	45	49
50	54	56
62	63	67
70	72	78
79	81	83
70	80	90
1	10	20
10	20	30
27	30	33
36	40	44
50	55	60
56	60	66
60	70	80
70	78	80
70	80	90
80	90	100
